Timestamp,X,Y,Z
20250207150729,79753,-0.180054,-0.168579,0.974365
20250207150729,80757,-0.183350,-0.174072,0.971680
20250207150730,81765,-0.179077,-0.172974,0.974609
20250207150731,82769,-0.177368,-0.191040,0.966919
20250207150732,83774,-0.170898,-0.161011,0.977539
20250207150733,84778,-0.161865,-0.165283,0.981567
20250207150734,85783,-0.164795,-0.155762,0.979370
20250207150735,86789,-0.167847,-0.159058,0.979858
20250207150736,87794,-0.164917,-0.149292,0.982666
20250207150737,88797,-0.155029,-0.180298,0.977051
20250207150738,89801,-0.169067,-0.249023,0.958008
20250207150739,90806,-0.161011,-0.225708,0.968018
20250207150740,91810,-0.165039,-0.236694,0.962402
20250207150741,92815,-0.160278,-0.238403,0.964111
20250207150742,93819,-0.162598,-0.235840,0.963623
20250207150743,94823,-0.158569,-0.240967,0.963257
20250207150744,95827,-0.157837,-0.234009,0.964844
20250207150745,96832,-0.160767,-0.241821,0.962402
20250207150746,97836,-0.152344,-0.233032,0.964355
20250207150747,98840,-0.159424,-0.238770,0.963257
20250207150748,99845,-0.163208,-0.234131,0.963989
20250207150749,100849,-0.161255,-0.231323,0.965698
20250207150750,101854,-0.160034,-0.240112,0.964600
20250207150751,102858,-0.162476,-0.235107,0.963379
20250207150752,103861,-0.162231,-0.234253,0.963379
20250207150753,104865,-0.161011,-0.233398,0.963379
20250207150754,105870,-0.160645,-0.240234,0.962646
20250207150755,106874,-0.161865,-0.237549,0.962646
20250207150756,107883,-0.157349,-0.241455,0.962280
20250207150757,108891,-0.161621,-0.234985,0.963989
20250207150758,109895,-0.161987,-0.234741,0.964600
20250207150759,110899,-0.158691,-0.239136,0.963257
20250207150800,111906,-0.161011,-0.236084,0.963623
20250207150801,112913,-0.158813,-0.237183,0.963989
20250207150802,113917,-0.160522,-0.238037,0.964111
20250207150803,114920,-0.158936,-0.237671,0.963867
20250207150804,115928,-0.159668,-0.238037,0.962280
20250207150805,116933,-0.157471,-0.239014,0.963379
20250207150806,117937,-0.153687,-0.238037,0.964600
20250207150807,118941,-0.163818,-0.237549,0.962646
20250207150808,119946,-0.158569,-0.230591,0.964722
20250207150809,120953,-0.161255,-0.222534,0.967163
20250207150810,121956,-0.152832,-0.223877,0.967285
20250207150811,122961,-0.156982,-0.218262,0.968628
20250207150812,123969,-0.168579,-0.215332,0.967773
20250207150813,124973,-0.152466,-0.223267,0.968262
20250207150814,125977,-0.145874,-0.205811,0.973633
20250207150815,126981,-0.163330,-0.227539,0.966797
20250207150816,127985,-0.162354,-0.204468,0.970947
20250207150817,128991,-0.159424,-0.212402,0.970215
20250207150818,129995,-0.151733,-0.208374,0.971436
20250207150819,131000,-0.158691,-0.202637,0.972168
20250207150820,132004,-0.158691,-0.207153,0.972046
20250207150821,133008,-0.160767,-0.204834,0.971069
20250207150822,134015,-0.160400,-0.208252,0.970215
20250207150823,135019,-0.160278,-0.201660,0.971313
20250207150824,136023,-0.159302,-0.203735,0.970337
20250207150825,137027,-0.158691,-0.204346,0.971313
20250207150826,138030,-0.163208,-0.196533,0.978149
20250207150827,139035,-0.161499,-0.199219,0.970581
20250207150828,140039,-0.158569,-0.201782,0.973267
20250207150829,141043,-0.158691,-0.202759,0.975586
20250207150830,142048,-0.158691,-0.204346,0.971802
20250207150831,143054,-0.158081,-0.202881,0.971558
20250207150832,144061,-0.164307,-0.197021,0.971069
20250207150833,145068,-0.161621,-0.195679,0.973511
20250207150834,146075,-0.160400,-0.199341,0.973022
20250207150835,147080,-0.165161,-0.195557,0.971558
20250207150836,148084,-0.160889,-0.199707,0.971436
20250207150837,149091,-0.162231,-0.195679,0.971191
20250207150838,150097,-0.161987,-0.197754,0.972168
20250207150839,151102,-0.159790,-0.199097,0.971069
20250207150840,152107,-0.162598,-0.194580,0.972656
20250207150841,153113,-0.152466,-0.205444,0.971802
20250207150842,154119,-0.164917,-0.195068,0.972168
20250207150843,155126,-0.160034,-0.200439,0.971924
20250207150844,156130,-0.175903,-0.215942,0.967529
